🃏 PELADA APP
📋 CARDS DOS JOGADORES
━━━━━━━━━━━━━━━━━━━━

🆔 001 | ATA 23 | DEF 20 | VEL 20 | PAS 20 | DRI 20
🆔 002 | ATA 15 | DEF 26 | VEL 10 | PAS 20 | DRI 10
🆔 003 | ATA 5 | DEF 15 | VEL 12 | PAS 20 | DRI -2
🆔 004 | ATA 12 | DEF 20 | VEL 12 | PAS 20 | DRI 20
🆔 005 | ATA 20 | DEF 40 | VEL 15 | PAS 20 | DRI 15
🆔 006 | ATA 15 | DEF 30 | VEL 15 | PAS 20 | DRI 10
🆔 007 | ATA 20 | DEF 20 | VEL 20 | PAS 15 | DRI 12
🆔 008 | ATA 20 | DEF 20 | VEL 20 | PAS 20 | DRI 20
🆔 009 | ATA 35 | DEF 25 | VEL 30 | PAS 30 | DRI 35
🆔 010 | ATA 35 | DEF 25 | VEL 30 | PAS 30 | DRI 35
🆔 011 | ATA 20 | DEF 20 | VEL 20 | PAS 20 | DRI 20
🆔 012 | ATA 20 | DEF 20 | VEL 20 | PAS 20 | DRI 20
🆔 013 | ATA 20 | DEF 20 | VEL 20 | PAS 20 | DRI 20
🆔 014 | ATA 20 | DEF 20 | VEL 20 | PAS 20 | DRI 20
🆔 015 | ATA 25 | DEF 20 | VEL 20 | PAS 25 | DRI 20
🆔 016 | ATA 20 | DEF 20 | VEL 20 | PAS 20 | DRI 20
🆔 017 | ATA 25 | DEF 20 | VEL 20 | PAS 20 | DRI 20
🆔 018 | ATA 20 | DEF 20 | VEL 20 | PAS 20 | DRI 20
🆔 019 | ATA 20 | DEF 20 | VEL 20 | PAS 20 | DRI 20
🆔 020 | ATA 25 | DEF 20 | VEL 20 | PAS 20 | DRI 20
🆔 021 | ATA 20 | DEF 20 | VEL 20 | PAS 20 | DRI 20
🆔 022 | ATA 20 | DEF 20 | VEL 20 | PAS 20 | DRI 20
🆔 023 | ATA 30 | DEF 25 | VEL 25 | PAS 35 | DRI 30
🆔 024 | ATA 20 | DEF 20 | VEL 20 | PAS 20 | DRI 20
🆔 025 | ATA 20 | DEF 20 | VEL 20 | PAS 20 | DRI 20
🆔 026 | ATA 30 | DEF 20 | VEL 30 | PAS 30 | DRI 30
🆔 027 | ATA 20 | DEF 20 | VEL 20 | PAS 20 | DRI 20
🆔 028 | ATA 25 | DEF 22 | VEL 18 | PAS 20 | DRI 20
🆔 029 | ATA 20 | DEF 20 | VEL 20 | PAS 20 | DRI 20
🆔 030 | ATA 25 | DEF 20 | VEL 20 | PAS 20 | DRI 20

━━━━━━━━━━━━━━━━━━━━
🔐 PELADA_CARDS_V1
